地域,1~15歳未満人口,15～64歳人口,65歳以上人口,転出者数
北海道,497000,2868000,1677000,59566
青森県,114000,634000,416000,21255
岩手県,115000,624000,405000,20411
宮城県,243000,1340000,665000,46526
秋田県,79000,463000,354000,13365
山形県,105000,546000,360000,15920
福島県,184000,972000,587000,30189
茨城県,303000,1637000,866000,61226
栃木県,203000,1106000,575000,39215
群馬県,203000,1098000,588000,37560
埼玉県,814000,4500000,2018000,166465
千葉県,688000,3804000,1759000,156055
東京都,1494000,9469000,3215000,382169
神奈川県,1008000,5817000,2400000,207116
新潟県,220000,1162000,717000,28249
富山県,105000,561000,331000,15833
石川県,124000,636000,337000,22247
福井県,86000,417000,235000,12263
山梨県,85000,453000,253000,15571
長野県,222000,1111000,654000,32448
岐阜県,217000,1096000,602000,36610
静岡県,391000,2035000,1101000,63650
愛知県,906000,4626000,1928000,128935
三重県,192000,990000,529000,36088
滋賀県,179000,841000,382000,30291
京都府,266000,1502000,752000,62554
大阪府,968000,5371000,2418000,166624
兵庫県,614000,3112000,1611000,99657
奈良県,142000,720000,423000,25503
和歌山県,96000,481000,303000,14290
鳥取県,63000,289000,179000,9825
島根県,75000,341000,226000,12199
岡山県,215000,1045000,571000,33538
広島県,321000,1569000,824000,54100
山口県,138000,688000,455000,26073
徳島県,71000,369000,245000,11574
香川県,104000,512000,301000,18737
愛媛県,138000,697000,440000,22267
高知県,67000,348000,240000,11446
福岡県,632000,3004000,1456000,98788
佐賀県,100000,436000,252000,17346
長崎県,149000,669000,434000,27198
熊本県,214000,931000,553000,31242
大分県,124000,588000,374000,22210
宮崎県,129000,553000,351000,19662
鹿児島県,191000,817000,524000,29674
沖縄県,231000,880000,355000,29519
