地域,15歳未満人口,15～64歳人口,65歳以上人口,人口増減率,転入者数
北海道,497000,2868000,1677000,-9.7,46270
青森県,114000,634000,416000,-16.6,14983
岩手県,115000,624000,405000,-15.7,14372
宮城県,243000,1340000,665000,-7.3,40671
秋田県,79000,463000,354000,-18.7,9421
山形県,105000,546000,360000,-14.9,10782
福島県,184000,972000,587000,-13.5,20956
茨城県,303000,1637000,866000,-6.4,44264
栃木県,203000,1106000,575000,-6.6,30173
群馬県,203000,1098000,588000,-6.2,26101
埼玉県,814000,4500000,2018000,0.1,156424
千葉県,688000,3804000,1759000,-0.8,138701
東京都,1494000,9469000,3215000,6.6,407610
神奈川県,1008000,5817000,2400000,-0.5,206363
新潟県,220000,1162000,717000,-12.9,19688
富山県,105000,561000,331000,-10,11452
石川県,124000,636000,337000,-10,15618
福井県,86000,417000,235000,-7.7,8344
山梨県,85000,453000,253000,-6.3,12899
長野県,222000,1111000,654000,-8.4,26390
岐阜県,217000,1096000,602000,-8.1,23849
静岡県,391000,2035000,1101000,-8,45930
愛知県,906000,4626000,1928000,-2.3,103003
三重県,192000,990000,529000,-9.4,23217
滋賀県,179000,841000,382000,-3.2,24990
京都府,266000,1502000,752000,-6,49448
大阪府,968000,5371000,2418000,-0.7,162547
兵庫県,614000,3112000,1611000,-6.1,81574
奈良県,142000,720000,423000,-8,21015
和歌山県,96000,481000,303000,-13.4,10121
鳥取県,63000,289000,179000,-11.6,7336
島根県,75000,341000,226000,-11.6,8942
岡山県,215000,1045000,571000,-8.4,24724
広島県,321000,1569000,824000,-8.6,39418
山口県,138000,688000,455000,-12.6,18864
徳島県,71000,369000,245000,-13.6,7729
香川県,104000,512000,301000,-9.3,14443
愛媛県,138000,697000,440000,-12.2,15450
高知県,67000,348000,240000,-15.6,7513
福岡県,632000,3004000,1456000,-2.1,95080
佐賀県,100000,436000,252000,-8.2,13771
長崎県,149000,669000,434000,-12.1,20467
熊本県,214000,931000,553000,-6.9,26120
大分県,124000,588000,374000,-10,16754
宮崎県,129000,553000,351000,-8.9,16728
鹿児島県,191000,817000,524000,-11,22774
沖縄県,231000,880000,355000,-1.1,25301
